N,link,price,cls,active
1,https://kaspi.kz/shop/p/huter-mk-7000p-10-4x2-104683333,242290,0,1
2,https://kaspi.kz/shop/p/moika-elektricheskaja-huter-w195-pro-195-bar-15800120,108490,0,1
3,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-250t-lux-mma--100141744,101790,0,1
4,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-saipa-165-65-8-mig-mag--30000204,133190,0,1
5,https://kaspi.kz/shop/p/resanta-r-82st-48600060,43890,0,1
6,https://kaspi.kz/shop/p/nasos-skvazhinnyi-vihr-sn-100-27700150,106390,0,1
7,https://kaspi.kz/shop/p/zerkalo-s-podsvetkoi-dlja-makijazha-jordan-judy-led-makeup-mirror-nv026-white-100919283,4285,0,1
8,https://kaspi.kz/shop/p/kanalizatsionnyi-nasos-vihr-kn-500-68-9-2-100637320,89990,0,1
9,https://kaspi.kz/shop/p/nasos-pogruzhnoi-vihr-dn-550n-27700120,35490,0,1
10,https://kaspi.kz/shop/p/resanta-p-24-650k-2-8-dzh-sds-plus-100107557,33290,0,1
11,https://kaspi.kz/shop/p/huter-benzinovyi-ge-170-f-19-7-l-s--106650560,64980,0,1
12,https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-huter-dy4000l-17900034,177790,0,1
13,https://kaspi.kz/shop/p/huter-gmc-6-5-30500002,189490,0,1
14,https://kaspi.kz/shop/p/shlifmashina-uglovaja-vihr-ushm-230-2300-12500211,42990,0,1
15,https://kaspi.kz/shop/p/huter-mk-7800pl-70-5-28-105488770,263090,0,1
16,https://kaspi.kz/shop/p/resanta-p-32-1000k-5-2-dzh-sds-plus-100137589,48090,0,1
17,https://kaspi.kz/shop/p/shlifmashina-poliroval-naja-resanta-ushm-180-1500p-75-12-12-105632884,43490,0,1
18,https://kaspi.kz/shop/p/kovrik-huter-vpc-1-74-6-3-1-sht-104946355,26190,0,1
19,https://kaspi.kz/shop/p/nasos-pogruzhnoi-vihr-sn-60-27700129,88790,0,1
20,https://kaspi.kz/shop/p/stabilizator-naprjazhenija-resanta-s2000-100876605,35990,0,1
21,https://kaspi.kz/shop/p/resanta-drel--shurupovert-da-20-2lk-104142625,45790,0,1
22,https://kaspi.kz/shop/p/resanta-p-28-800k-3-4-dzh-sds-plus-100107434,39390,0,1
23,https://kaspi.kz/shop/p/nasos-poverhnostnyi-vihr-pn-1100n-27700122,50190,0,1
24,https://kaspi.kz/shop/p/vihr-drel--shurupovert-da-20l-2k-101315881,36190,0,1
25,https://kaspi.kz/shop/p/resanta-elektricheskaja-tp-210-75-18-2-104376110,67190,0,1
26,https://kaspi.kz/shop/p/moika-elektricheskaja-huter-w210i-professional-210-bar-100373394,157690,0,1
