N;link;price;cls;
1;https://kaspi.kz/shop/p/almacom-ach-09-belyi-102371856/?c=750000000;153277;0;
2;https://kaspi.kz/shop/p/ava-sl-2033-chernyi-101314654/?c=750000000;14967;0;
3;https://kaspi.kz/shop/p/ava-sl-168-sinii-101315655/?c=750000000;9835;0;
4;https://kaspi.kz/shop/p/ava-sl-2088a-sinii-101315715/?c=750000000;7045;0;
5;https://kaspi.kz/shop/p/almacom-regular-ach-07ar-belyi-101515997/?c=750000000;122992;0;
6;https://kaspi.kz/shop/p/almacom-favorite-ach-09af-belyi-101515663/?c=750000000;149886;0;
7;https://kaspi.kz/shop/p/almacom-luxury-comfort-new-ach-18lc-seryi-101515944/?c=750000000;266673;0;
8;https://kaspi.kz/shop/p/almacom-standart-ach-24as-belyi-101516009/?c=750000000;326432;0;
9;https://kaspi.kz/shop/p/almacom-favorite-ach-18af-belyi-101515693/?c=750000000;247391;0;
10;https://kaspi.kz/shop/p/almacom-standart-ach-12as-belyi-101516016/?c=750000000;158190;0;
11;https://kaspi.kz/shop/p/almacom-luxury-comfort-ach-18lc-chernyi-102593337/?c=750000000;266673;0;
12;https://kaspi.kz/shop/p/almacom-acp-24ae-belyi-101516130/?c=750000000;403937;0;
13;https://kaspi.kz/shop/p/almacom-inverter-diamond-ach-12id-belyi-101515864/?c=750000000;221025;0;
14;https://kaspi.kz/shop/p/almacom-acp-60ae-belyi-101516116/?c=750000000;886925;0;
15;https://kaspi.kz/shop/p/almacom-regular-ach-24ar-belyi-101516008/?c=750000000;313540;0;
16;https://kaspi.kz/shop/p/almacom-standart-ach-07as-belyi-101516011/?c=750000000;127944;0;
17;https://kaspi.kz/shop/p/almacom-luxury-comfort-ach-12lc-chernyi-102593378/?c=750000000;177387;0;
18;https://kaspi.kz/shop/p/almacom-luxury-comfort-new-ach-24lc-seryi-101515951/?c=750000000;366588;0;
19;https://kaspi.kz/shop/p/almacom-standart-ach-09as-belyi-101516015/?c=750000000;144012;0;
20;https://kaspi.kz/shop/p/almacom-favorite-ach-07af-belyi-101515659/?c=750000000;133143;0;
21;https://kaspi.kz/shop/p/almacom-standart-ach-18as-belyi-101516018/?c=750000000;237585;0;
22;https://kaspi.kz/shop/p/almacom-inverter-diamond-ach-18id-belyi-101515879/?c=750000000;284429;0;
23;https://kaspi.kz/shop/p/almacom-inverter-diamond-ach-24id-belyi-101515890/?c=750000000;362127;0;
24;https://kaspi.kz/shop/p/almacom-favorite-ach-24af-belyi-101515654/?c=750000000;339968;0;
25;https://kaspi.kz/shop/p/almacom-favorite-ach-12af-belyi-101515687/?c=750000000;164660;0;
26;https://kaspi.kz/shop/p/almacom-luxury-comfort-new-ach-12lc-seryi-101515939/?c=750000000;177387;0;
27;https://kaspi.kz/shop/p/lg-f12b8wds7-belyi-102179979/?c=750000000;147727;0;
28;https://kaspi.kz/shop/p/almacom-acp-24lw-belyi-101516169/?c=750000000;501291;0;
29;https://kaspi.kz/shop/p/almacom-luxury-comfort-ach-18lc-chernyi-mednaja-installjatsija-101745203/?c=750000000;266673;0;
30;https://kaspi.kz/shop/p/almacom-luxury-comfort-ach-24lc-chernyi-mednaja-installjatsija-101745233/?c=750000000;366588;0;
31;https://kaspi.kz/shop/p/almacom-luxury-comfort-ach-12lc-chernyi-mednaja-installjatsija-101745070/?c=750000000;177387;0;
32;https://kaspi.kz/shop/p/almacom-inverter-diamond-ach-12id-belyi-montazh-installjatsii-101752766/?c=750000000;221025;0;
33;https://kaspi.kz/shop/p/almacom-ach-09af-belyi-mednaja-installjatsija-101752340/?c=750000000;149886;0;
34;https://kaspi.kz/shop/p/almacom-ach-12af-belyi-mednaja-installjatsija-101752383/?c=750000000;164660;0;
35;https://kaspi.kz/shop/p/almacom-inverter-diamond-ach-24id-belyi-montazh-installjatsii-101752775/?c=750000000;362127;0;
36;https://kaspi.kz/shop/p/almacom-ach-12id-belyi-mednaja-installjatsija-4201180/?c=750000000;221025;0;
37;https://kaspi.kz/shop/p/almacom-ach-12he-belyi-103928425/?c=750000000;167874;0;
38;https://kaspi.kz/shop/p/beko-bbfda-070-belyi-104064142/?c=750000000;154757;0;
39;https://kaspi.kz/shop/p/samsung-ww80aas22ax-ld-seryi-102908164/?c=750000000;193759;0;
40;https://kaspi.kz/shop/p/logitech-ergo-k860-chernyi-103143664/?c=750000000;55520;0;
41;https://kaspi.kz/shop/p/ava-kg-3209-belyi-103288392/?c=750000000;35052;0;
42;https://kaspi.kz/shop/p/almacom-ach-12id-belyi-mednaja-installjatsija-101850020/?c=750000000;221025;0;
43;https://kaspi.kz/shop/p/teplovaja-zavesa-almacom-ac-10j-102508856/?c=750000000;106167;0;
44;https://kaspi.kz/shop/p/logitech-mx-anywhere-3-seryi-103473535/?c=750000000;38224;0;
45;https://kaspi.kz/shop/p/almacom-ach-12as-belyi-103939878/?c=750000000;158190;0;
