№;Ссылка на товар;;;;;;;;;;;;;Минимум цена2;;;
1;https://kaspi.kz/shop/p/lg-f1296cds3-belyi-100359124/?c=750000000;;;;;;;;;;;;;229834;;;
2;https://kaspi.kz/shop/p/lg-f1296hds0-belyi-100107910/?c=750000000;;;;;;;;;;;;;175857;;;
3;https://kaspi.kz/shop/p/samsung-ww90t554cax-ld-chernyi-101242832/?c=750000000;;;;;;;;;;;;;348782;;;
4;https://kaspi.kz/shop/p/samsung-ww80aas22ax-ld-seryi-102908164/?c=750000000;;;;;;;;;;;;;206913;;;
5;https://kaspi.kz/shop/p/lg-f12b8wds7-belyi-102179979/?c=750000000;;;;;;;;;;;;;156944;;;
6;https://kaspi.kz/shop/p/vitek-vt-7049-serebristyi-chernyi-6301744/?c=750000000;;;;;;;;;;;;;17596;;;
7;https://kaspi.kz/shop/p/ava-kg-3209-belyi-103288392/?c=750000000;;;;;;;;;;;;;40225;;;
8;https://kaspi.kz/shop/p/ava-sl-2088a-sinii-101315715/?c=750000000;;;;;;;;;;;;;10330;;;
9;https://kaspi.kz/shop/p/ava-sl-2033-chernyi-101314654/?c=750000000;;;;;;;;;;;;;18787;;;
10;https://kaspi.kz/shop/p/ava-sl-168-sinii-101315655/?c=750000000;;;;;;;;;;;;;13308;;;
11;https://kaspi.kz/shop/p/hp-15s-fq2050ur-3c7a6ea-serebristyi-101849118/?c=750000000;;;;;;;;;;;;;337978;;;
12;https://kaspi.kz/shop/p/neo-151g-seryi-101367261/?c=750000000;;;;;;;;;;;;;203393;;;
13;https://kaspi.kz/shop/p/samsung-qe55qn90aauxce-chernyi-101394419/?c=750000000;;;;;;;;;;;;;635718;;;
14;https://kaspi.kz/shop/p/samsung-qe65qn85aauxce-chernyi-101394488/?c=750000000;;;;;;;;;;;;;802460;;;
15;https://kaspi.kz/shop/p/samsung-qe75q60aauxce-191-sm-chernyi-101401373/?c=750000000;;;;;;;;;;;;;659539;;;
16;https://kaspi.kz/shop/p/samsung-qe75q77aauxce-191-sm-chernyi-101433288/?c=750000000;;;;;;;;;;;;;814370;;;
17;https://kaspi.kz/shop/p/samsung-qe75qn85aauxce-serebristyi-101461743/?c=750000000;;;;;;;;;;;;;1314595;;;
18;https://kaspi.kz/shop/p/samsung-ue75au9000uxce-191-sm-chernyi-101496382/?c=750000000;;;;;;;;;;;;;599988;;;
19;https://kaspi.kz/shop/p/samsung-ue75au8000uxce-191sm-chernyi-101496470/?c=750000000;;;;;;;;;;;;;504707;;;
20;https://kaspi.kz/shop/p/samsung-the-frame-qe75ls03aauxce-191-sm-chernyi-101585576/?c=750000000;;;;;;;;;;;;;957291;;;
21;https://kaspi.kz/shop/p/samsung-qe75q80aauxce-191-sm-chernyi-102163580/?c=750000000;;;;;;;;;;;;;1076393;;;
22;https://kaspi.kz/shop/p/samsung-qe65qn900auxce-chernyi-102724545/?c=750000000;;;;;;;;;;;;;1850550;;;
23;https://kaspi.kz/shop/p/samsung-qe75qn800auxce-serebristyi-103305999/?c=750000000;;;;;;;;;;;;;1671898;;;
24;https://kaspi.kz/shop/p/samsung-neo-qe75qn800auxce-190-5-sm-serebristyi-103333554/?c=750000000;;;;;;;;;;;;;1671898;;;
25;https://kaspi.kz/shop/p/samsung-the-frame-qe65ls03rau-165-sm-chernyi-1802066/?c=750000000;;;;;;;;;;;;;659539;;;
26;https://kaspi.kz/shop/p/ava-technologies-actn-09bf-103842049/?c=750000000;;;;;;;;;;;;;135506;;;
27;https://kaspi.kz/shop/p/ava-technologies-actn-07bf-103842199/?c=750000000;;;;;;;;;;;;;123596;;;
28;https://kaspi.kz/shop/p/ava-technologies-actn-12bf-103842274/?c=750000000;;;;;;;;;;;;;171236;;;
29;https://kaspi.kz/shop/p/ava-technologies-actn-24bf-103973701/?c=750000000;;;;;;;;;;;;;296292;;;
30;https://kaspi.kz/shop/p/beko-bbfda-070-belyi-104064142/?c=750000000;;;;;;;;;;;;;165281;;;
31;https://kaspi.kz/shop/p/ava-technologies-aft-48la-belyi-montazhnyi-komplekt-4201289/?c=750000000;;;;;;;;;;;;;909663;;;
32;https://kaspi.kz/shop/p/ava-technologies-aft-60la-belyi-montazhnyi-komplekt-4201290/?c=750000000;;;;;;;;;;;;;1028645;;;
33;https://kaspi.kz/shop/p/adata-premier-pro-micro-sdxc-512gb-100934757/?c=750000000;;;;;;;;;;;;;49839;;;
34;https://kaspi.kz/shop/p/kitfort-kt-2403-chernyi-2702573/?c=750000000;;;;;;;;;;;;;106311;;;
35;https://kaspi.kz/shop/p/samsung-evo-plus-mb-mc512ha-ru-512gb-100754112/?c=750000000;;;;;;;;;;;;;57331;;;
36;https://kaspi.kz/shop/p/almacom-ach-12af-belyi-mednaja-installjatsija-101752383/?c=750000000;233895;202922,9;165 048;25728,45;39 119;4000;24;198120;162 572;41 594;25,6;162572;195215;41594,55;25,5853098934626;160133,42
37;https://kaspi.kz/shop/p/almacom-favorite-ach-12af-belyi-101515687/?c=750000000;233891;202922,9;165048;25728,01;39 115;4000;24;198120;162572,28;41590,71;25,6;162572;195215;41590,99;25,5831200944812;160133,42
38;https://kaspi.kz/shop/p/almacom-ach-12af-belyi-4200760/?c=750000000;233890;202922,9;165 048;25727,9;39 114;4000;24;198120;162 572;41 590;25,6;162572;195215;41590,1;25,5825726447359;160133,42
39;https://kaspi.kz/shop/p/almacom-ach-09-belyi-102371856/?c=750000000;188095;169851,5;137540;20690,45;25 865;4000;19;165849;135476,9;27927,65;20,6;135477;163429;27927,55;20,6142371029769;133444,845
40;https://kaspi.kz/shop/p/otex-owm-18rp-belyi-montazhnyi-komplekt-4200261/?c=750000000;282903;258336,9;211 140;31119,33;36 644;4000;17;252192;207 973;39 811;19,1;206550;246808;41233,67;19,9630452674897;203451,75
